Target,Marital status,Application mode,Application order,Course,Daytime/evening attendance	=0,Daytime/evening attendance	=1,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced=0,Displaced=1,Educational special needs=0,Educational special needs=1,Debtor=0,Debtor=1,Tuition fees up to date=0,Tuition fees up to date=1,Gender=0,Gender=1,Scholarship holder=0,Scholarship holder=1,Age at enrollment,International=0,International=1,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Enrolled,-0.295,-1.011,-0.554,0.18483,0,1,-0.350,1.3943,-0.126,-0.036,1.025,-0.074,-0.080,2.0733,0,1,1,0,0,1,0,1,1,0,0,1,-0.694,1,0,-0.301,-0.109,-0.072,0.095,0.19805,-0.199,-0.282,-0.106,0.997,-0.145,0.147747,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-0.095,0.207,0.18483,0,1,-0.350,-1.3357,-0.126,-0.036,1.025,-0.150,-0.120,-0.7305,0,1,1,0,1,0,0,1,1,0,1,0,-0.299,1,0,-0.301,-0.109,0.168,0.418,0.151592,-0.199,-0.282,-0.106,0.237,0.519,0.586445,-0.199,1.740,-0.671,-0.4062
Enrolled,-0.295,-1.011,-0.554,0.11067,0,1,-0.350,0.4085,-0.126,-0.036,-0.213,-0.301,-0.318,0.2777,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.512,0.168,0.095,0.418294,2.696,-0.282,-0.561,-0.269,-0.145,0.531608,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,-0.554,0.14072,0,1,-0.350,0.1810,-0.126,-0.036,-1.387,-0.074,-0.080,-0.3369,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.512,-0.550,0.095,0.280641,-0.199,-0.282,-0.561,-0.523,0.187,0.403654,-0.199,1.740,-0.671,-0.4062
Enrolled,-0.295,-0.095,0.207,0.31180,0,1,-0.350,-0.4257,-0.126,-1.062,-1.256,-0.377,-0.041,-0.5648,0,1,1,0,1,0,0,1,0,1,1,0,-0.562,1,0,-0.301,0.294,0.168,0.418,0.473355,-0.199,-0.282,0.350,-0.269,0.519,0.669158,-0.199,1.740,-0.671,-0.4062
Enrolled,-0.295,1.449,-0.554,0.07093,0,1,3.370,1.3185,-0.126,-0.997,-1.126,-0.264,-0.358,1.5899,1,0,1,0,1,0,0,1,0,1,1,0,-0.299,1,0,-0.301,-0.109,1.604,0.095,0.251144,-0.199,-0.282,-0.106,2.264,0.187,0.0654911,-0.199,1.740,-0.671,-0.4062
Graduate,-0.295,1.849,-0.554,0.10340,0,1,-0.350,-0.5773,-0.126,1.438,-1.256,4.317,4.472,0.2087,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,0.547,-0.109,-0.311,0.418,0.452707,-0.199,-0.282,-0.106,0.237,-0.145,0.60838,-0.199,-1.001,0.124,1.5456
Enrolled,-0.295,-1.011,-0.554,0.14072,0,1,-0.350,0.7877,-0.126,-1.190,-1.387,-0.264,-0.199,0.8164,1,0,1,0,1,0,1,0,0,1,1,0,-0.694,1,0,-0.301,-0.512,0.168,-0.552,0.142989,-0.199,-0.282,-0.561,-0.016,-0.808,0.627573,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-0.038,-0.554,-0.40839,1,0,-0.350,0.4085,-0.126,-0.036,-1.387,-0.074,-0.239,0.5195,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.550,0.418,0.418294,-0.199,-0.282,-0.106,-0.016,0.519,0.795512,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.54977,1,0,-0.350,-0.1982,-0.126,-1.126,0.960,-0.301,-0.080,0.3054,1,0,1,0,1,0,0,1,0,1,1,0,1.415,1,0,-0.301,-0.512,-0.550,0.095,0.363233,-0.199,-0.282,-0.561,0.237,0.187,0.613864,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,1.163,-0.554,-4.27640,0,1,-0.350,-0.1982,-0.126,1.182,0.960,-0.074,-0.199,-1.6904,1,0,1,0,0,1,1,0,0,1,1,0,1.810,1,0,-0.301,0.294,-0.311,-1.521,-2.1971,-0.199,-0.282,0.350,-0.269,-1.140,-0.0441835,-0.199,-1.001,0.124,1.5456
Dropout,-0.295,1.163,-0.554,0.12715,0,1,0.531,0.0369,-0.126,0.925,0.960,-0.415,-0.437,0.1258,0,1,1,0,1,0,0,1,0,1,1,0,2.601,1,0,-0.301,-0.512,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.561,-2.043,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,1.392,-0.554,0.14072,0,1,-0.350,0.5602,-0.126,1.118,0.960,-0.188,-0.199,-0.2816,1,0,1,0,1,0,0,1,1,0,1,0,4.183,1,0,-0.301,-0.512,0.407,-1.198,-0.132316,-0.199,-0.282,-0.561,-0.016,-0.808,0.339678,2.454,1.740,-0.671,-0.4062
Graduate,4.658,1.163,-0.554,0.54977,1,0,-0.350,-0.9565,-0.126,-0.036,-0.213,-0.074,-0.318,-0.9032,0,1,1,0,1,0,0,1,1,0,1,0,2.074,1,0,-0.301,-0.512,-0.072,0.095,0.0741627,-0.199,-0.282,-0.561,-0.776,0.187,0.262905,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,1.449,-0.554,0.13248,0,1,3.370,-0.9565,0.597,-0.997,-1.191,-0.301,-0.199,-0.4819,1,0,1,0,0,1,1,0,1,0,1,0,-0.430,0,1,0.547,-0.109,1.125,-0.552,0.211815,-0.199,0.239,-0.106,0.744,-0.476,0.339678,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,-1.011,2.491,0.44412,0,1,-0.350,-0.5015,-0.126,-1.062,-1.256,-0.339,-0.358,-0.4059,1,0,1,0,0,1,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.109,-0.550,-0.228,0.4355,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-1.011,0.207,0.14072,0,1,-0.350,0.0293,-0.126,-1.062,-0.213,-0.339,-0.160,-0.4543,0,1,1,0,1,0,0,1,1,0,1,0,-0.167,1,0,-0.301,-0.512,-0.790,0.095,0.858782,-0.199,-0.282,-0.561,-0.776,0.187,1.06901,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-1.011,3.252,0.31180,0,1,-0.350,-2.2457,-0.126,-1.190,-1.256,-0.339,-0.358,-1.8216,0,1,0,1,1,0,0,1,1,0,1,0,-0.167,1,0,-0.301,0.294,0.168,0.095,0.678732,-0.199,-0.282,0.805,0.237,0.851,0.789343,-0.199,-0.175,-0.454,0.8891
Dropout,-0.295,-0.095,-0.554,0.44412,0,1,-0.350,-0.9565,-0.126,-1.190,1.025,-0.226,-0.239,-0.3852,1,0,1,0,1,0,1,0,1,0,1,0,-0.430,1,0,-0.301,-0.109,-0.311,-0.228,0.48712,-0.199,-0.282,-0.106,-0.269,0.187,0.685152,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,1.163,-0.554,0.54977,1,0,-0.350,0.0369,-0.126,1.118,0.960,-0.074,-0.080,-1.1932,1,0,1,0,1,0,0,1,1,0,1,0,0.756,1,0,-0.301,-0.512,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.561,-2.043,-1.472,-1.96349,-0.199,1.740,-0.671,-0.4062
Enrolled,-0.295,-0.095,-0.554,0.54977,1,0,-0.350,1.6218,-0.126,1.182,1.025,-0.264,-0.239,0.4918,1,0,1,0,1,0,0,1,1,0,1,0,0.097,1,0,-0.301,-0.512,0.168,-0.875,0.177402,-0.199,-0.282,-0.561,0.744,-0.476,0.787515,1.127,-1.489,0.992,0.1401
Graduate,-0.295,-0.095,0.207,0.18483,0,1,-0.350,-0.1982,-0.126,-0.036,-0.213,-0.074,-0.080,0.0429,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.109,-0.550,0.418,0.211815,-0.199,-0.282,-0.106,-0.016,0.187,0.569994,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,-0.095,3.252,0.31180,0,1,-0.350,-0.0465,-0.126,1.118,-0.213,-0.150,-0.160,0.3744,0,1,1,0,1,0,0,1,1,0,0,1,-0.167,1,0,-0.301,0.294,-0.072,0.418,0.593801,-0.199,-0.282,0.805,0.237,0.851,0.679669,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,1.449,-0.554,-0.40839,1,0,3.370,-0.1982,-0.126,-1.190,-0.213,-0.074,-0.080,0.4435,1,0,1,0,1,0,0,1,1,0,0,1,-0.299,1,0,0.970,-0.109,-0.550,0.418,0.177402,-0.199,0.760,-0.106,-0.269,0.519,0.586445,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.18483,0,1,-0.350,0.4843,-0.126,1.118,1.025,-0.074,-0.080,-0.0606,1,0,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,-0.109,-0.311,0.095,0.349468,-0.199,-0.282,-0.106,-0.269,0.519,0.49962,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,1.163,-0.554,0.19258,0,1,-0.350,-0.1982,-0.126,-0.036,1.025,-0.074,-0.160,-0.9308,1,0,1,0,1,0,0,1,1,0,0,1,0.097,1,0,-0.301,-0.109,-0.550,0.418,0.624772,-0.199,-0.282,-0.106,-0.523,0.519,0.755527,-0.199,0.313,-0.527,0.7878
Enrolled,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,0.4843,-0.126,1.118,1.025,-0.188,-0.199,-0.3921,0,1,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,0.697,0.407,0.418,0.246228,-0.199,-0.282,0.805,0.491,0.519,0.307689,-0.199,-0.813,-1.467,-1.3755
Enrolled,-0.295,-1.011,-0.554,0.44412,0,1,-0.350,-0.4257,-0.126,-1.190,-0.213,-0.150,-0.160,-0.3576,0,1,1,0,1,0,0,1,1,0,0,1,-0.430,1,0,-0.301,-0.109,0.646,-0.228,0.693599,-0.199,-0.282,-0.106,0.997,-0.476,0.147747,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,0.968,0.13248,0,1,-0.350,2.6077,-0.126,1.118,0.960,2.992,3.126,2.2321,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.512,-0.311,0.095,0.841083,-0.199,-0.282,-0.561,-0.776,0.187,1.06901,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,1.163,-0.554,0.54977,1,0,-0.350,-0.1982,-0.126,1.182,1.025,-0.074,-0.080,-0.4819,1,0,1,0,1,0,0,1,1,0,1,0,0.492,1,0,-0.301,-0.512,0.886,0.095,-0.00842878,-0.199,-0.282,-0.561,0.491,0.187,0.147747,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,-0.1982,-0.126,-1.190,-0.213,-0.226,-0.239,0.1465,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,0.168,0.741,0.496297,-0.199,-0.282,0.805,0.491,1.182,0.645807,-0.199,1.477,1.137,-1.7897
Dropout,1.356,-0.667,-0.554,0.19258,0,1,-0.154,-0.1982,-0.126,-1.190,-1.256,-0.264,-0.318,0.2087,1,0,1,0,1,0,0,1,1,0,1,0,2.074,1,0,-0.301,-0.109,0.407,-1.521,-2.1971,-0.199,-0.282,-0.106,-0.523,-1.472,-1.96349,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,1.163,-0.554,0.13248,0,1,3.468,-0.2740,-0.126,-1.062,-1.256,-0.339,-0.358,1.9559,0,1,1,0,1,0,0,1,1,0,1,0,0.492,1,0,-0.301,-0.109,0.168,0.095,0.48712,-0.199,2.324,2.171,1.251,1.846,0.512415,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-0.095,-0.554,0.31180,0,1,-0.350,0.6360,-0.126,1.182,1.025,-0.150,-0.041,0.8855,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.697,-0.072,1.064,0.886656,-0.199,-0.282,0.805,-0.016,1.182,0.902994,-0.199,-0.813,-1.467,-1.3755
Enrolled,-0.295,-1.011,0.968,-4.20952,0,1,-0.350,-0.5773,-0.126,1.182,0.960,-0.264,-0.080,-0.8134,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,0.207,0.31180,0,1,-0.350,-0.5773,-0.126,-0.036,-0.213,-0.074,-0.080,-0.8341,1,0,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,-0.072,0.418,0.51465,-0.199,-0.282,0.805,0.997,0.851,0.382176,-0.199,1.740,-0.671,-0.4062
Graduate,-0.295,1.449,-0.554,0.18483,0,1,3.370,-0.1982,-0.126,-0.036,-1.387,-0.074,-0.080,0.3399,1,0,1,0,1,0,0,1,1,0,0,1,-0.299,1,0,0.970,-0.109,-0.311,0.418,0.280641,-0.199,0.760,-0.106,-0.269,0.519,0.339678,-0.199,0.876,-1.105,0.3472
Enrolled,-0.295,-0.095,0.968,-4.20952,0,1,-0.350,0.0293,-0.126,-1.190,0.960,-0.264,-0.160,-0.0675,0,1,1,0,1,0,0,1,0,1,0,1,-0.562,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,-0.095,-0.554,0.10340,0,1,-0.350,-0.4257,-0.126,-1.190,-1.387,-0.301,-0.278,0.2225,0,1,1,0,1,0,0,1,0,1,1,0,-0.562,1,0,-0.301,-0.109,-0.550,0.095,0.156754,-0.199,-0.282,-0.106,-0.016,-1.140,-0.0441835,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,1.392,-0.554,0.10340,0,1,-0.350,-1.2598,-0.126,-1.190,-1.387,-0.301,-0.318,-0.4197,1,0,1,0,1,0,0,1,0,1,1,0,0.097,1,0,-0.301,-0.109,-0.550,-1.521,-2.1971,-0.199,-0.282,-0.106,-0.523,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Dropout,4.658,1.335,-0.554,0.31180,0,1,1.412,0.0369,-0.126,-1.190,-1.387,-0.226,-0.239,-0.0675,0,1,1,0,1,0,0,1,0,1,1,0,0.756,1,0,0.547,0.294,0.407,0.095,0.259993,-0.199,0.239,0.805,0.491,0.187,0.147747,-0.199,0.876,-1.105,0.3472
Graduate,-0.295,-1.011,0.968,-4.20952,0,1,-0.350,0.4843,-0.126,-0.036,-0.213,-0.226,-0.318,0.0844,0,1,1,0,1,0,0,1,0,1,0,1,-0.562,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,1.449,-0.554,0.07093,0,1,3.370,-0.1982,-0.126,-0.036,0.960,-0.074,-0.080,0.2087,0,1,1,0,1,0,0,1,0,1,1,0,-0.035,1,0,-0.301,-0.109,-0.072,0.418,0.398629,-0.199,-0.282,-0.106,-0.269,0.519,0.421933,-0.199,-1.001,0.124,1.5456
Dropout,-0.295,-1.011,0.968,0.14072,0,1,-0.350,-0.5773,-0.126,-1.190,1.025,-0.150,-0.160,-0.4750,1,0,1,0,0,1,0,1,0,1,1,0,-0.562,1,0,-0.301,-0.512,-0.072,0.095,0.115458,-0.199,-0.282,-0.561,0.491,-0.145,0.0997644,3.781,1.740,-0.671,-0.4062
Enrolled,-0.295,1.163,-0.554,0.19258,0,1,-0.350,2.0768,-0.126,-0.036,0.960,-0.150,-0.041,-1.8631,1,0,1,0,1,0,0,1,0,1,1,0,0.360,1,0,-0.301,-0.109,-0.311,0.418,0.280641,-0.199,-0.282,-0.106,-0.016,0.187,0.109361,-0.199,0.426,1.788,-0.7499
Enrolled,-0.295,-0.095,-0.554,0.14072,0,1,-0.350,1.1668,-0.126,1.182,0.960,-0.226,-0.239,0.4849,1,0,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.512,0.168,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-0.095,-0.554,0.31180,0,1,-0.350,1.3185,-0.126,1.118,-0.213,-0.112,-0.278,0.2639,1,0,1,0,1,0,0,1,0,1,1,0,0.097,1,0,-0.301,0.294,-0.072,0.741,0.275479,-0.199,-0.282,0.805,-0.016,1.182,0.675556,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,-1.011,-0.554,-4.20952,0,1,-0.350,0.6360,-0.126,-0.036,-0.213,-0.226,-0.041,0.6092,0,1,1,0,1,0,0,1,0,1,1,0,-0.562,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,-0.095,1.730,0.19258,0,1,-0.350,-1.1082,-0.126,1.182,0.960,-0.226,-0.160,-1.0551,0,1,1,0,1,0,0,1,0,1,1,0,-0.694,1,0,-0.301,-0.109,0.886,-0.552,0.211815,-0.199,-0.282,-0.106,0.997,-1.140,0.339678,-0.199,0.313,-0.527,0.7878
